ID_,N_PATIO,N_REGISTRO,NOM_COMUN,NOM_CIENTIFICO,ESPECIE,OPERADOR,Latitudes,Longitudes,PROPIEDAD,Status,DAP_CM,ALTURA_M,RADIO_M,TIPO_PODA,TRATAMIENTO,OBSERVACIONES
,1,147,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41708800,-70.652542,CEMENTERIO,BUENO,,,,,,
,1,148,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41707900,-70.652524,CEMENTERIO,BUENO,,,,,,
,1,149,MORERA,,INTRODUCIDA,CAMILO,-33.41700600,-70.652558,CEMENTERIO,BUENO,,,,,,
,1,150,FUJA,,INTRODUCIDA,CAMILO,-33.41695300,-70.652597,CEMENTERIO,BUENO,,,,,,
,1,151,PALMERA CANARIA,,INTRODUCIDA,CAMILO,-33.41695500,-70.652658,CEMENTERIO,BUENO,,,,,,
,1,152,FALSA ACACIA,,INTRODUCIDA,CAMILO,-33.41688900,-70.652000,SEPULTURA,MALO,,,,,,
,1,153,CELTIS,,INTRODUCIDA,DIEGO,-33.41688400,-70.651910,SEPULTURA,BUENO,,,,,,
,1,154,LIGUSTRO,,INTRODUCIDA,DIEGO,-33.41688200,-70.651825,SEPULTURA,BUENO,,,,,,
,1,155,CIRUELO,,INTRODUCIDA,DIEGO,-33.41689700,-70.651777,SEPULTURA,BUENO,,,,,,
,1,156,LIGUSTRO,,INTRODUCIDA,DIEGO,-33.41687800,-70.651762,SEPULTURA,MALO,,,,,,
,1,157,PEUMO EXTRAJERO,,INTRODUCIDA,DIEGO,-33.41688200,-70.651899,CEMENTERIO,BUENO,,,,,,
,1,158,CIPRES MEDITERRANEO,,INTRODUCIDA,DIEGO,-33.41687300,-70.651938,CEMENTERIO,REGULAR,,,,,,
,1,159,CELTIS,,INTRODUCIDA,DIEGO,-33.41686800,-70.652084,CEMENTERIO,MALO,,,,,,
,1,160,CELTIS,,INTRODUCIDA,DIEGO,-33.41688800,-70.652068,SEPULTURA,BUENO,,,,,,
,1,161,CELTIS,,INTRODUCIDA,DIEGO,-33.41688100,-70.652093,SEPULTURA,BUENO,,,,,,
,1,162,CELTIS,,INTRODUCIDA,DIEGO,-33.41686800,-70.652117,SEPULTURA,BUENO,,,,,,
,1,163,CELTIS,,INTRODUCIDA,DIEGO,-33.41687400,-70.652145,SEPULTURA,BUENO,,,,,,
,1,164,AISLANTUS,,INTRODUCIDA,DIEGO,-33.41718700,-70.652613,SEPULTURA,BUENO,,,,,,
,1,165,PALO VERDE,,INTRODUCIDA,DIEGO,-33.41716400,-70.652605,SEPULTURA,BUENO,,,,,,
,1,166,CELTIS,,INTRODUCIDA,DIEGO,-33.41711500,-70.652590,SEPULTURA,BUENO,,,,,,
,1,167,PALMERA CANARIA,,INTRODUCIDA,DIEGO,-33.41713300,-70.652626,CEMENTERIO,BUENO,,,,,,
,1,168,PALMERA CANARIA,,INTRODUCIDA,DIEGO,-33.41711000,-70.652571,SEPULTURA,BUENO,,,,,,
,1,169,PALQUI,,INTRODUCIDA,DIEGO,-33.41711800,-70.652607,SEPULTURA,BUENO,,,,,,
,1,170,NISPERO,,INTRODUCIDA,DIEGO,-33.41703900,-70.652589,SEPULTURA,BUENO,,,,,,
,1,171,PALMERA CANARIA,,INTRODUCIDA,DIEGO,-33.41710000,-70.652571,CEMENTERIO,BUENO,,,,,,
,1,172,JACARANDA,,INTRODUCIDA,DIEGO,-33.41705300,-70.652652,CEMENTERIO,BUENO,,,,,,
,1,173,FALSA ACACIA,,INTRODUCIDA,DIEGO,-33.41701600,-70.652633,CEMENTERIO,MALO,,,,,,
,1,174,PEUMO EXTRAJERO,,INTRODUCIDA,DIEGO,-33.41697800,-70.652669,CEMENTERIO,BUENO,,,,,,
,1,175,CIPRES MEDITERRANEO,,INTRODUCIDA,ARIEL,-33.41715400,-70.652032,CEMENTERIO,MALO,,,,,,
,1,176,CIPRES MEDITERRANEO,,INTRODUCIDA,ARIEL,-33.41717800,-70.652059,CEMENTERIO,REGULAR,,,,,,
,1,177,CIPRES MEDITERRANEO,,INTRODUCIDA,ARIEL,-33.41722400,-70.652098,CEMENTERIO,BUENO,,,,,,
